time,theta_b,dtheta_b,dtheta_w
1.20,0.00,0.00,0.00,0.00
2.31,0.00,0.00,0.00,0.00
3.43,0.00,0.00,0.00,0.00
4.56,2.11,488.92,0.00,0.00
5.68,2.11,488.92,0.00,0.00
6.80,2.11,488.92,0.00,0.00
7.92,2.11,488.92,0.00,0.00
9.03,2.23,27.03,0.00,1.00
10.15,2.23,27.03,0.00,1.00
11.27,2.23,27.03,0.00,1.00
12.39,2.23,27.03,0.00,1.00
13.51,2.36,28.90,0.00,1.00
14.63,2.36,28.90,0.00,1.00
15.75,2.36,28.90,0.00,1.00
16.86,2.36,28.90,0.00,1.00
17.98,2.48,29.42,0.00,1.00
19.10,2.48,29.42,0.00,1.00
20.22,2.48,29.42,0.00,1.00
21.34,2.60,29.43,0.00,1.00
22.46,2.60,29.43,0.00,1.00
23.58,2.60,29.43,0.00,1.00
24.69,2.60,29.43,0.00,1.00
25.81,2.72,28.42,0.00,1.00
26.93,2.72,28.42,0.00,1.00
28.05,2.72,28.42,0.00,1.00
29.17,2.72,28.42,0.00,1.00
30.30,2.84,28.59,0.00,1.00
31.42,2.84,28.59,0.00,1.00
32.53,2.84,28.59,0.00,1.00
33.65,2.96,29.01,0.00,1.00
34.77,2.96,29.01,0.00,1.00
35.89,2.96,29.01,0.00,1.00
37.01,2.96,29.01,0.00,1.00
38.13,3.07,29.12,0.00,1.00
39.25,3.07,29.12,0.00,1.00
40.37,3.07,29.12,0.00,1.00
41.48,3.07,29.12,0.00,1.00
42.60,3.19,28.33,0.00,1.00
43.72,3.19,28.33,0.00,1.00
44.84,3.19,28.33,0.00,1.00
45.96,3.19,28.33,0.00,1.00
47.08,3.31,27.40,0.00,1.00
48.19,3.31,27.40,0.00,1.00
49.30,3.31,27.40,0.00,1.00
50.40,3.43,29.23,0.00,0.00
51.50,3.43,29.23,0.00,0.00
52.60,3.43,29.23,0.00,0.00
53.70,3.43,29.23,0.00,0.00
54.81,3.55,28.93,0.00,0.00
55.91,3.55,28.93,0.00,0.00
57.01,3.55,28.93,0.00,0.00
58.11,3.55,28.93,0.00,0.00
59.21,3.67,27.05,0.00,0.00
60.31,3.67,27.05,0.00,0.00
61.42,3.67,27.05,0.00,0.00
62.52,3.67,27.05,0.00,0.00
63.62,3.79,28.58,0.00,0.00
64.72,3.79,28.58,0.00,0.00
65.83,3.79,28.58,0.00,0.00
66.93,3.90,28.60,0.00,0.00
68.03,3.90,28.60,0.00,0.00
69.13,3.90,28.60,0.00,0.00
70.24,3.90,28.60,0.00,0.00
71.34,4.02,28.33,0.00,0.00
72.44,4.02,28.33,0.00,0.00
73.54,4.02,28.33,0.00,0.00
74.64,4.02,28.33,0.00,0.00
75.75,4.14,28.09,0.00,0.00
76.85,4.14,28.09,0.00,0.00
77.95,4.14,28.09,0.00,0.00
79.05,4.14,28.09,0.00,0.00
80.15,4.25,28.54,0.00,0.00
81.25,4.25,28.54,0.00,0.00
82.36,4.25,28.54,0.00,0.00
83.46,4.37,28.20,0.00,0.00
84.56,4.37,28.20,0.00,0.00
85.66,4.37,28.20,0.00,0.00
86.76,4.37,28.20,0.00,0.00
87.86,4.48,28.26,0.00,0.00
88.96,4.48,28.26,0.00,0.00
90.06,4.48,28.26,0.00,0.00
91.14,4.48,28.26,0.00,0.00
92.24,4.60,27.33,0.00,0.00
93.34,4.60,27.33,0.00,0.00
94.51,4.60,27.33,0.00,0.00
95.61,4.60,27.33,0.00,0.00
96.72,4.71,27.45,0.00,0.00
97.80,4.71,27.45,0.00,0.00
98.97,4.71,27.45,0.00,0.00
100.07,4.83,27.51,0.00,0.00
101.14,4.83,27.51,0.00,0.00
102.24,4.83,27.51,0.00,0.00
103.34,4.83,27.51,0.00,0.00
104.46,4.94,28.16,0.00,0.00
105.62,4.94,28.16,0.00,0.00
106.72,4.94,28.16,0.00,0.00
107.80,4.94,28.16,0.00,0.00
108.93,5.06,27.32,0.00,0.00
110.05,5.06,27.32,0.00,0.00
111.23,5.06,27.32,0.00,0.00
112.35,5.06,27.32,0.00,0.00
113.47,5.17,26.99,0.00,1.00
114.60,5.17,26.99,0.00,1.00
115.72,5.17,26.99,0.00,1.00
116.84,5.28,27.26,0.00,1.00
117.97,5.28,27.26,0.00,1.00
119.09,5.28,27.26,0.00,1.00
120.21,5.28,27.26,0.00,1.00
121.33,5.40,27.68,0.00,1.00
122.46,5.40,27.68,0.00,1.00
123.58,5.40,27.68,0.00,1.00
124.70,5.40,27.68,0.00,1.00
125.82,5.51,26.22,0.00,1.00
126.94,5.51,26.22,0.00,1.00
128.07,5.51,26.22,0.00,1.00
129.19,5.51,26.22,0.00,1.00
130.31,5.62,26.35,0.00,1.00
131.44,5.62,26.35,0.00,1.00
132.56,5.62,26.35,0.00,1.00
133.68,5.73,26.95,0.00,1.00
134.80,5.73,26.95,0.00,1.00
135.93,5.73,26.95,0.00,1.00
137.05,5.73,26.95,0.00,1.00
138.17,5.85,27.27,0.00,1.00
139.30,5.85,27.27,0.00,1.00
140.42,5.85,27.27,0.00,1.00
141.54,5.85,27.27,0.00,1.00
142.66,5.96,26.04,0.00,1.00
143.79,5.96,26.04,0.00,1.00
144.91,5.96,26.04,0.00,1.00
146.03,6.07,26.38,0.00,1.00
147.15,6.07,26.38,0.00,1.00
148.28,6.07,26.38,0.00,1.00
149.40,6.07,26.38,0.00,1.00
150.52,6.18,27.13,0.00,1.00
151.65,6.18,27.13,0.00,1.00
152.77,6.18,27.13,0.00,1.00
153.89,6.18,27.13,0.00,1.00
155.01,6.29,27.20,0.00,1.00
156.13,6.29,27.20,0.00,1.00
157.26,6.29,27.20,0.00,1.00
158.38,6.29,27.20,0.00,1.00
159.50,6.40,25.71,0.00,1.00
160.63,6.40,25.71,0.00,1.00
161.75,6.40,25.71,0.00,1.00
162.87,6.51,26.22,0.00,1.00
163.99,6.51,26.22,0.00,1.00
165.12,6.51,26.22,0.00,1.00
166.24,6.51,26.22,0.00,1.00
167.36,6.62,26.81,0.00,1.00
168.49,6.62,26.81,0.00,1.00
169.61,6.62,26.81,0.00,1.00
170.73,6.62,26.81,0.00,1.00
171.86,6.73,26.75,0.00,1.00
172.98,6.73,26.75,0.00,1.00
174.10,6.73,26.75,0.00,1.00
175.23,6.84,26.33,0.00,1.00
176.35,6.84,26.33,0.00,1.00
177.47,6.84,26.33,0.00,1.00
178.60,6.84,26.33,0.00,1.00
179.72,6.95,26.46,0.00,1.00
180.84,6.95,26.46,0.00,1.00
181.96,6.95,26.46,0.00,1.00
183.09,6.95,26.46,0.00,1.00
184.21,7.05,26.56,0.00,1.00
185.34,7.05,26.56,0.00,1.00
186.46,7.05,26.56,0.00,1.00
187.58,7.16,26.28,0.00,1.00
188.70,7.16,26.28,0.00,1.00
189.82,7.16,26.28,0.00,1.00
190.95,7.16,26.28,0.00,1.00
192.07,7.27,26.05,0.00,1.00
193.19,7.27,26.05,0.00,1.00
194.31,7.27,26.05,0.00,1.00
195.43,7.38,26.05,0.00,1.00
196.56,7.38,26.05,0.00,1.00
197.68,7.38,26.05,0.00,1.00
198.80,7.38,26.05,0.00,1.00
199.92,7.38,26.05,0.00,1.00
201.05,7.48,20.24,0.00,1.00
202.17,7.48,20.24,0.00,1.00
203.29,7.48,20.24,0.00,1.00
204.41,7.48,20.24,0.00,1.00
205.53,7.59,22.73,0.00,1.00
206.65,7.59,22.73,0.00,1.00
207.79,7.59,22.73,0.00,1.00
208.91,7.59,22.73,0.00,1.00
210.03,7.59,22.73,0.00,1.00
211.16,7.69,20.17,0.00,1.00
212.29,7.69,20.17,0.00,1.00
213.41,7.69,20.17,0.00,1.00
214.49,7.69,20.17,0.00,1.00
215.61,7.69,20.17,0.00,1.00
216.73,7.80,20.13,0.00,1.00
217.83,7.80,20.13,0.00,1.00
218.95,7.80,20.13,0.00,1.00
220.07,7.80,20.13,0.00,1.00
221.16,7.91,19.80,0.00,1.00
222.28,7.91,19.80,0.00,1.00
223.47,7.91,19.80,0.00,1.00
224.59,7.91,19.80,0.00,1.00
225.71,7.91,19.80,0.00,1.00
226.84,8.01,21.78,0.00,1.00
227.96,8.01,21.78,0.00,1.00
229.08,8.01,21.78,0.00,1.00
230.20,8.01,21.78,0.00,1.00
231.33,8.12,22.62,0.00,1.00
232.45,8.12,22.62,0.00,1.00
233.57,8.12,22.62,0.00,1.00
234.70,8.12,22.62,0.00,1.00
235.82,8.12,22.62,0.00,1.00
236.94,8.22,20.32,0.00,1.00
238.06,8.22,20.32,0.00,1.00
239.18,8.22,20.32,0.00,1.00
240.30,8.22,20.32,0.00,1.00
241.43,8.33,22.30,0.00,1.00
242.55,8.33,22.30,0.00,1.00
243.67,8.33,22.30,0.00,1.00
244.79,8.33,22.30,0.00,1.00
245.91,8.43,19.52,0.00,1.00
247.04,8.43,19.52,0.00,1.00
248.16,8.43,19.52,0.00,1.00
249.28,8.43,19.52,0.00,1.00
250.40,8.43,19.52,0.00,1.00
251.52,8.53,21.96,0.00,1.00
252.65,8.53,21.96,0.00,1.00
253.77,8.53,21.96,0.00,1.00
254.89,8.53,21.96,0.00,1.00
256.01,8.64,18.94,0.00,1.00
257.13,8.64,18.94,0.00,1.00
258.26,8.64,18.94,0.00,1.00
259.38,8.64,18.94,0.00,1.00
260.50,8.64,18.94,0.00,1.00
261.62,8.74,22.04,0.00,1.00
262.74,8.74,22.04,0.00,1.00
263.86,8.74,22.04,0.00,1.00
264.99,8.74,22.04,0.00,1.00
266.11,8.84,19.24,0.00,1.00
267.23,8.84,19.24,0.00,1.00
268.36,8.84,19.24,0.00,1.00
269.48,8.84,19.24,0.00,1.00
270.60,8.84,19.24,0.00,1.00
271.72,8.94,21.88,0.00,1.00
272.84,8.94,21.88,0.00,1.00
273.97,8.94,21.88,0.00,1.00
275.09,8.94,21.88,0.00,1.00
276.21,9.05,19.56,0.00,1.00
277.33,9.05,19.56,0.00,1.00
278.46,9.05,19.56,0.00,1.00
279.58,9.05,19.56,0.00,1.00
280.70,9.15,21.97,0.00,1.00
281.82,9.15,21.97,0.00,1.00
282.95,9.15,21.97,0.00,1.00
284.07,9.15,21.97,0.00,1.00
285.19,9.15,21.97,0.00,1.00
286.31,9.25,19.39,0.00,1.00
287.43,9.25,19.39,0.00,1.00
288.56,9.25,19.39,0.00,1.00
289.68,9.25,19.39,0.00,1.00
290.80,9.25,19.39,0.00,1.00
291.92,9.35,19.37,0.00,1.00
293.05,9.35,19.37,0.00,1.00
294.17,9.35,19.37,0.00,1.00
295.29,9.35,19.37,0.00,1.00
296.41,9.45,21.75,0.00,1.00
297.54,9.45,21.75,0.00,1.00
298.66,9.45,21.75,0.00,1.00
299.78,9.45,21.75,0.00,1.00
300.90,9.45,21.75,0.00,1.00
302.03,9.55,19.19,0.00,1.00
303.15,9.55,19.19,0.00,1.00
304.27,9.55,19.19,0.00,1.00
305.39,9.55,19.19,0.00,1.00
306.52,9.66,20.21,0.00,1.00
307.64,9.66,20.21,0.00,1.00
308.76,9.66,20.21,0.00,1.00
309.88,9.66,20.21,0.00,1.00
311.00,9.76,21.63,0.00,1.00
312.13,9.76,21.63,0.00,1.00
313.25,9.76,21.63,0.00,1.00
314.37,9.76,21.63,0.00,1.00
315.49,9.76,21.63,0.00,1.00
316.62,9.85,18.53,0.00,1.00
317.74,9.85,18.53,0.00,1.00
318.86,9.85,18.53,0.00,1.00
319.98,9.85,18.53,0.00,1.00
321.12,9.95,21.10,0.00,1.00
322.24,9.95,21.10,0.00,1.00
323.36,9.95,21.10,0.00,1.00
324.49,9.95,21.10,0.00,1.00
325.61,9.95,21.10,0.00,1.00
326.73,10.05,18.63,0.00,1.00
327.83,10.05,18.63,0.00,1.00
328.95,10.05,18.63,0.00,1.00
330.07,10.05,18.63,0.00,1.00
331.16,10.15,21.29,0.00,1.00
332.28,10.15,21.29,0.00,1.00
333.40,10.15,21.29,0.00,1.00
334.49,10.15,21.29,0.00,1.00
335.61,10.15,21.29,0.00,1.00
336.74,10.25,18.21,0.00,1.00
337.83,10.25,18.21,0.00,1.00
338.95,10.25,18.21,0.00,1.00
340.07,10.25,18.21,0.00,1.00
341.22,10.35,21.32,0.00,1.00
342.35,10.35,21.32,0.00,1.00
343.47,10.35,21.32,0.00,1.00
344.59,10.35,21.32,0.00,1.00
345.71,10.35,21.32,0.00,1.00
346.84,10.45,18.79,0.00,1.00
347.96,10.45,18.79,0.00,1.00
349.08,10.45,18.79,0.00,1.00
350.20,10.45,18.79,0.00,1.00
351.33,10.55,21.04,0.00,1.00
352.45,10.55,21.04,0.00,1.00
353.57,10.55,21.04,0.00,1.00
354.70,10.55,21.04,0.00,1.00
355.82,10.55,21.04,0.00,1.00
356.95,10.65,18.64,0.00,1.00
358.08,10.65,18.64,0.00,1.00
359.20,10.65,18.64,0.00,1.00
360.34,10.65,18.64,0.00,1.00
361.46,10.74,20.89,0.00,1.00
362.59,10.74,20.89,0.00,1.00
363.71,10.74,20.89,0.00,1.00
364.85,10.74,20.89,0.00,1.00
365.97,10.84,18.32,0.00,1.00
367.06,10.84,18.32,0.00,1.00
368.14,10.84,18.32,0.00,1.00
369.21,10.84,18.32,0.00,1.00
370.28,10.84,18.32,0.00,1.00
371.36,10.94,18.52,0.00,1.00
372.43,10.94,18.52,0.00,1.00
373.50,10.94,18.52,0.00,1.00
374.58,10.94,18.52,0.00,1.00
375.65,10.94,18.52,0.00,1.00
376.72,11.03,20.71,0.00,1.00
377.77,11.03,20.71,0.00,1.00
378.84,11.03,20.71,0.00,1.00
379.92,11.03,20.71,0.00,1.00
380.99,11.03,20.71,0.00,1.00
382.06,11.13,18.19,0.00,1.00
383.13,11.13,18.19,0.00,1.00
384.20,11.13,18.19,0.00,1.00
385.28,11.13,18.19,0.00,1.00
386.35,11.23,20.38,0.00,1.00
387.42,11.23,20.38,0.00,1.00
388.49,11.23,20.38,0.00,1.00
389.56,11.23,20.38,0.00,1.00
390.63,11.23,20.38,0.00,1.00
391.71,11.32,18.18,0.00,1.00
392.78,11.32,18.18,0.00,1.00
393.85,11.32,18.18,0.00,1.00
394.92,11.32,18.18,0.00,1.00
395.99,11.42,20.39,0.00,1.00
397.07,11.42,20.39,0.00,1.00
398.14,11.42,20.39,0.00,1.00
399.21,11.42,20.39,0.00,1.00
400.28,11.42,20.39,0.00,1.00
401.35,11.51,18.11,0.00,1.00
402.43,11.51,18.11,0.00,1.00
403.50,11.51,18.11,0.00,1.00
404.57,11.51,18.11,0.00,1.00
405.64,11.51,18.11,0.00,1.00
406.71,11.61,18.05,0.00,1.00
407.77,11.61,18.05,0.00,1.00
408.85,11.61,18.05,0.00,1.00
409.92,11.61,18.05,0.00,1.00
410.99,11.70,20.48,0.00,1.00
412.06,11.70,20.48,0.00,1.00
413.13,11.70,20.48,0.00,1.00
414.20,11.70,20.48,0.00,1.00
415.28,11.70,20.48,0.00,1.00
416.35,11.80,17.77,0.00,1.00
417.42,11.80,17.77,0.00,1.00
418.49,11.80,17.77,0.00,1.00
419.56,11.80,17.77,0.00,1.00
420.64,11.80,17.77,0.00,1.00
421.71,11.89,20.37,0.00,1.00
422.78,11.89,20.37,0.00,1.00
423.85,11.89,20.37,0.00,1.00
424.92,11.89,20.37,0.00,1.00
425.99,11.89,20.37,0.00,1.00
427.07,11.98,17.71,0.00,1.00
428.14,11.98,17.71,0.00,1.00
429.21,11.98,17.71,0.00,1.00
430.28,11.98,17.71,0.00,1.00
431.35,12.08,19.89,0.00,1.00
432.42,12.08,19.89,0.00,1.00
433.50,12.08,19.89,0.00,1.00
434.57,12.08,19.89,0.00,1.00
435.64,12.08,19.89,0.00,1.00
436.71,12.17,16.82,0.00,1.00
437.77,12.17,16.82,0.00,1.00
438.84,12.17,16.82,0.00,1.00
439.92,12.17,16.82,0.00,1.00
440.99,12.26,20.08,0.00,1.00
442.06,12.26,20.08,0.00,1.00
443.13,12.26,20.08,0.00,1.00
444.20,12.26,20.08,0.00,1.00
445.27,12.26,20.08,0.00,1.00
446.35,12.26,20.08,0.00,1.00
447.42,12.36,16.81,0.00,1.00
448.49,12.36,16.81,0.00,1.00
449.56,12.36,16.81,0.00,1.00
450.63,12.36,16.81,0.00,1.00
451.71,12.45,19.99,0.00,1.00
452.78,12.45,19.99,0.00,1.00
453.85,12.45,19.99,0.00,1.00
454.92,12.45,19.99,0.00,1.00
455.99,12.54,18.97,0.00,1.00
457.06,12.54,18.97,0.00,1.00
458.14,12.54,18.97,0.00,1.00
459.21,12.54,18.97,0.00,1.00
460.28,12.54,18.97,0.00,1.00
461.35,12.63,17.22,0.00,1.00
462.42,12.63,17.22,0.00,1.00
463.49,12.63,17.22,0.00,1.00
464.57,12.63,17.22,0.00,1.00
465.64,12.63,17.22,0.00,1.00
466.71,12.72,18.45,0.00,1.00
467.77,12.72,18.45,0.00,1.00
468.84,12.72,18.45,0.00,1.00
469.91,12.72,18.45,0.00,1.00
470.98,12.81,19.36,0.00,1.00
472.06,12.81,19.36,0.00,1.00
473.13,12.81,19.36,0.00,1.00
474.20,12.81,19.36,0.00,1.00
475.27,12.81,19.36,0.00,1.00
476.35,12.90,17.31,0.00,1.00
477.42,12.90,17.31,0.00,1.00
478.49,12.90,17.31,0.00,1.00
479.56,12.90,17.31,0.00,1.00
480.63,12.90,17.31,0.00,1.00
481.70,13.00,19.50,0.00,1.00
482.78,13.00,19.50,0.00,1.00
483.85,13.00,19.50,0.00,1.00
484.92,13.00,19.50,0.00,1.00
485.99,13.09,17.20,0.00,1.00
487.06,13.09,17.20,0.00,1.00
488.14,13.09,17.20,0.00,1.00
489.21,13.09,17.20,0.00,1.00
490.28,13.09,17.20,0.00,1.00
491.35,13.18,17.25,0.00,1.00
492.42,13.18,17.25,0.00,1.00
493.49,13.18,17.25,0.00,1.00
494.57,13.18,17.25,0.00,1.00
495.64,13.18,17.25,0.00,1.00
496.71,13.27,19.31,0.00,1.00
497.77,13.27,19.31,0.00,1.00
498.85,13.27,19.31,0.00,1.00
499.92,13.27,19.31,0.00,1.00
500.99,13.27,19.31,0.00,1.00
502.06,13.36,17.12,0.00,1.00
503.13,13.36,17.12,0.00,1.00
504.20,13.36,17.12,0.00,1.00
505.28,13.36,17.12,0.00,1.00
506.35,13.45,18.90,0.00,1.00
507.42,13.45,18.90,0.00,1.00
508.49,13.45,18.90,0.00,1.00
509.57,13.45,18.90,0.00,1.00
510.64,13.45,18.90,0.00,1.00
511.71,13.53,16.31,0.00,1.00
512.78,13.53,16.31,0.00,1.00
513.86,13.53,16.31,0.00,1.00
514.93,13.53,16.31,0.00,1.00
516.00,13.62,19.07,0.00,1.00
517.07,13.62,19.07,0.00,1.00
518.15,13.62,19.07,0.00,1.00
519.22,13.62,19.07,0.00,1.00
520.29,13.62,19.07,0.00,1.00
521.36,13.71,16.82,0.00,1.00
522.43,13.71,16.82,0.00,1.00
523.51,13.71,16.82,0.00,1.00
524.58,13.71,16.82,0.00,1.00
525.65,13.71,16.82,0.00,1.00
526.72,13.80,16.88,0.00,1.00
527.77,13.80,16.88,0.00,1.00
528.84,13.80,16.88,0.00,1.00
529.92,13.80,16.88,0.00,1.00
530.99,13.80,16.88,0.00,1.00
532.06,13.89,18.35,0.00,1.00
533.13,13.89,18.35,0.00,1.00
534.20,13.89,18.35,0.00,1.00
535.28,13.89,18.35,0.00,1.00
536.35,13.97,18.70,0.00,1.00
537.42,13.97,18.70,0.00,1.00
538.49,13.97,18.70,0.00,1.00
539.56,13.97,18.70,0.00,1.00
540.64,13.97,18.70,0.00,1.00
541.71,14.06,16.53,0.00,1.00
542.78,14.06,16.53,0.00,1.00
543.85,14.06,16.53,0.00,1.00
544.92,14.06,16.53,0.00,1.00
546.00,14.15,18.23,0.00,1.00
547.07,14.15,18.23,0.00,1.00
548.14,14.15,18.23,0.00,1.00
549.21,14.15,18.23,0.00,1.00
550.28,14.15,18.23,0.00,1.00
551.36,14.24,16.36,0.00,1.00
552.43,14.24,16.36,0.00,1.00
553.50,14.24,16.36,0.00,1.00
554.57,14.24,16.36,0.00,1.00
555.64,14.24,16.36,0.00,1.00
556.72,14.32,18.63,0.00,1.00
557.77,14.32,18.63,0.00,1.00
558.85,14.32,18.63,0.00,1.00
559.92,14.32,18.63,0.00,1.00
560.99,14.32,18.63,0.00,1.00
562.06,14.41,16.25,0.00,1.00
563.13,14.41,16.25,0.00,1.00
564.21,14.41,16.25,0.00,1.00
565.28,14.41,16.25,0.00,1.00
566.35,14.50,18.40,0.00,1.00
567.42,14.50,18.40,0.00,1.00
568.49,14.50,18.40,0.00,1.00
569.57,14.50,18.40,0.00,1.00
570.64,14.50,18.40,0.00,1.00
571.71,14.58,16.47,0.00,1.00
572.78,14.58,16.47,0.00,1.00
573.85,14.58,16.47,0.00,1.00
574.93,14.58,16.47,0.00,1.00
576.00,14.58,16.47,0.00,1.00
577.07,14.67,16.56,0.00,1.00
578.14,14.67,16.56,0.00,1.00
579.22,14.67,16.56,0.00,1.00
580.29,14.67,16.56,0.00,1.00
581.36,14.75,18.48,0.00,1.00
582.43,14.75,18.48,0.00,1.00
583.50,14.75,18.48,0.00,1.00
584.58,14.75,18.48,0.00,1.00
585.65,14.75,18.48,0.00,1.00
586.72,14.84,16.37,0.00,1.00
587.77,14.84,16.37,0.00,1.00
588.84,14.84,16.37,0.00,1.00
589.91,14.84,16.37,0.00,1.00
590.99,14.93,18.30,0.00,1.00
592.06,14.93,18.30,0.00,1.00
593.13,14.93,18.30,0.00,1.00
594.20,14.93,18.30,0.00,1.00
595.28,14.93,18.30,0.00,1.00
596.35,15.01,16.00,0.00,1.00
597.42,15.01,16.00,0.00,1.00
598.49,15.01,16.00,0.00,1.00
599.56,15.01,16.00,0.00,1.00
600.64,15.01,16.00,0.00,1.00
601.71,15.09,18.09,0.00,1.00
602.78,15.09,18.09,0.00,1.00
603.85,15.09,18.09,0.00,1.00
604.92,15.09,18.09,0.00,1.00
606.00,15.09,18.09,0.00,1.00
607.07,15.18,15.50,0.00,1.00
608.14,15.18,15.50,0.00,1.00
609.21,15.18,15.50,0.00,1.00
610.28,15.18,15.50,0.00,1.00
611.36,15.26,17.89,0.00,1.00
612.43,15.26,17.89,0.00,1.00
613.50,15.26,17.89,0.00,1.00
614.57,15.26,17.89,0.00,1.00
615.65,15.26,17.89,0.00,1.00
616.72,15.35,15.54,0.00,1.00
617.77,15.35,15.54,0.00,1.00
618.84,15.35,15.54,0.00,1.00
619.92,15.35,15.54,0.00,1.00
620.99,15.35,15.54,0.00,1.00
622.06,15.43,17.69,0.00,1.00
623.13,15.43,17.69,0.00,1.00
624.20,15.43,17.69,0.00,1.00
625.28,15.43,17.69,0.00,1.00
626.35,15.51,16.38,0.00,1.00
627.42,15.51,16.38,0.00,1.00
628.49,15.51,16.38,0.00,1.00
629.57,15.51,16.38,0.00,1.00
630.64,15.51,16.38,0.00,1.00
631.71,15.60,15.84,0.00,1.00
632.78,15.60,15.84,0.00,1.00
633.85,15.60,15.84,0.00,1.00
634.92,15.60,15.84,0.00,1.00
635.99,15.60,15.84,0.00,1.00
637.07,15.68,17.54,0.00,1.00
638.14,15.68,17.54,0.00,1.00
639.21,15.68,17.54,0.00,1.00
640.28,15.68,17.54,0.00,1.00
641.35,15.68,17.54,0.00,1.00
642.42,15.76,15.60,0.00,1.00
643.50,15.76,15.60,0.00,1.00
644.57,15.76,15.60,0.00,1.00
645.64,15.76,15.60,0.00,1.00
646.71,15.84,17.52,0.00,1.00
647.77,15.84,17.52,0.00,1.00
648.84,15.84,17.52,0.00,1.00
649.91,15.84,17.52,0.00,1.00
650.98,15.84,17.52,0.00,1.00
652.06,15.92,15.08,0.00,1.00
653.13,15.92,15.08,0.00,1.00
654.20,15.92,15.08,0.00,1.00
655.27,15.92,15.08,0.00,1.00
656.34,16.00,17.51,0.00,1.00
657.42,16.00,17.51,0.00,1.00
658.49,16.00,17.51,0.00,1.00
659.56,16.00,17.51,0.00,1.00
660.63,16.00,17.51,0.00,1.00
661.70,16.09,15.53,0.00,1.00
662.78,16.09,15.53,0.00,1.00
663.85,16.09,15.53,0.00,1.00
664.92,16.09,15.53,0.00,1.00
665.99,16.09,15.53,0.00,1.00
667.06,16.17,17.46,0.00,1.00
668.13,16.17,17.46,0.00,1.00
669.20,16.17,17.46,0.00,1.00
670.28,16.17,17.46,0.00,1.00
671.35,16.25,15.25,0.00,1.00
672.42,16.25,15.25,0.00,1.00
673.49,16.25,15.25,0.00,1.00
674.57,16.25,15.25,0.00,1.00
675.64,16.25,15.25,0.00,1.00
676.71,16.33,15.30,0.00,1.00
677.77,16.33,15.30,0.00,1.00
678.84,16.33,15.30,0.00,1.00
679.92,16.33,15.30,0.00,1.00
680.99,16.33,15.30,0.00,1.00
682.06,16.41,16.94,0.00,1.00
683.13,16.41,16.94,0.00,1.00
684.21,16.41,16.94,0.00,1.00
685.28,16.41,16.94,0.00,1.00
686.35,16.41,16.94,0.00,1.00
687.42,16.49,15.23,0.00,1.00
688.49,16.49,15.23,0.00,1.00
689.57,16.49,15.23,0.00,1.00
690.64,16.49,15.23,0.00,1.00
691.71,16.57,16.97,0.00,1.00
692.78,16.57,16.97,0.00,1.00
693.85,16.57,16.97,0.00,1.00
694.92,16.57,16.97,0.00,1.00
695.99,16.57,16.97,0.00,1.00
697.07,16.65,15.23,0.00,1.00
698.14,16.65,15.23,0.00,1.00
699.21,16.65,15.23,0.00,1.00
700.28,16.65,15.23,0.00,1.00
701.35,16.73,16.62,0.00,1.00
702.43,16.73,16.62,0.00,1.00
703.50,16.73,16.62,0.00,1.00
704.57,16.73,16.62,0.00,1.00
705.64,16.73,16.62,0.00,1.00
706.71,16.80,14.79,0.00,1.00
707.77,16.80,14.79,0.00,1.00
708.84,16.80,14.79,0.00,1.00
709.92,16.80,14.79,0.00,1.00
710.99,16.80,14.79,0.00,1.00
712.06,16.88,16.64,0.00,1.00
713.13,16.88,16.64,0.00,1.00
714.21,16.88,16.64,0.00,1.00
715.28,16.88,16.64,0.00,1.00
716.35,16.88,16.64,0.00,1.00
717.42,16.96,14.79,0.00,1.00
718.49,16.96,14.79,0.00,1.00
719.57,16.96,14.79,0.00,1.00
720.64,16.96,14.79,0.00,1.00
721.71,17.04,16.60,0.00,1.00
722.78,17.04,16.60,0.00,1.00
723.85,17.04,16.60,0.00,1.00
724.93,17.04,16.60,0.00,1.00
726.00,17.04,16.60,0.00,1.00
727.07,17.12,14.77,0.00,1.00
728.14,17.12,14.77,0.00,1.00
729.21,17.12,14.77,0.00,1.00
730.29,17.12,14.77,0.00,1.00
731.36,17.19,16.19,0.00,1.00
732.43,17.19,16.19,0.00,1.00
733.50,17.19,16.19,0.00,1.00
734.58,17.19,16.19,0.00,1.00
735.65,17.19,16.19,0.00,1.00
736.72,17.27,14.34,0.00,1.00
737.77,17.27,14.34,0.00,1.00
738.84,17.27,14.34,0.00,1.00
739.92,17.27,14.34,0.00,1.00
740.99,17.27,14.34,0.00,1.00
742.06,17.35,16.19,0.00,1.00
743.13,17.35,16.19,0.00,1.00
744.21,17.35,16.19,0.00,1.00
745.28,17.35,16.19,0.00,1.00
746.35,17.35,16.19,0.00,1.00
747.42,17.43,14.61,0.00,1.00
748.49,17.43,14.61,0.00,1.00
749.56,17.43,14.61,0.00,1.00
750.64,17.43,14.61,0.00,1.00
751.71,17.50,15.80,0.00,1.00
752.78,17.50,15.80,0.00,1.00
753.85,17.50,15.80,0.00,1.00
754.92,17.50,15.80,0.00,1.00
755.99,17.50,15.80,0.00,1.00
757.07,17.58,15.89,0.00,1.00
758.14,17.58,15.89,0.00,1.00
759.21,17.58,15.89,0.00,1.00
760.28,17.58,15.89,0.00,1.00
761.35,17.58,15.89,0.00,1.00
762.42,17.65,14.54,0.00,1.00
763.50,17.65,14.54,0.00,1.00
